VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StorkTrunover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750,145080,3811251.6,142049,5101919.51,672819.31,260999.2,68601.68,1290667.91,25.29769251,0.979108078,1.338646735
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750,164038,3804041.22,160247,4819073.49,561512.37,294438.66,144929.24,1015032.27,21.06280952,0.976889501,1.266829987
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750,187407,3418303.68,187140,4538120.6,461140.15,343854.07,123780.22,1119816.92,24.67578583,0.998575293,1.327594335
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750,201682,3261197.94,200412,4475972.88,420050.01,368242.8,257032.07,1214774.94,27.13990841,0.993702958,1.372493471
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750,138109,3023206.01,135838,4223107.62,545778.28,249587.83,257032.07,1199901.61,28.4127642,0.983556466,1.396897071
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750,138809,2466635.93,141860,3383912.4,446932.09,111699.19,89286.27,917276.47,27.10698037,1.021979843,1.371873473
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750,70783,2177285.08,69627,2773367.73,614529.34,127931.67,123780.22,596082.65,21.49309821,0.983668395,1.273773359
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750,161386,2088334.84,148265,2592041.35,292586.29,272422.6,257032.07,503706.51,19.43281152,0.918698028,1.24120007
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750,91835,1903739.55,90481,2640491.19,503661.02,166244.44,257032.07,736751.64,27.90206772,0.985256166,1.387002329
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750,108866,1773427.14,107061,2435393.39,426902.78,196707.35,123880.97,661966.25,27.181081,0.983419984,1.373269493
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750,93205,1530426.1,91247,2148965.53,436011.64,71840.57,123780.22,618539.43,28.78312478,0.978992543,1.40416158
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750,66942,1498161.96,61433,1840615.67,442856.2,112875.19,257032.07,342453.71,18.60538925,0.917704879,1.228582569
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750,69001,1478001.42,70122,2189368.78,495957.83,128839.08,89286.27,711367.36,32.49189294,1.016246141,1.48130357
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750,215668,1460072.36,214238,2326007.78,189608.96,24083.77,17587.59,865935.42,37.2283974,0.993369438,1.593077058
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750,42951,1452173.31,41639,2009508.61,662320.04,32783.09,68054.7,557335.3,27.7349048,0.969453563,1.383793929
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750,31596,1414552.92,28372,1739044.28,507291.43,52133.72,257032.07,324491.36,18.65917756,0.897961767,1.229394995
